system:index,ST,ST_unc,coverage,sensor,time_utc,time_utc+1,time_unix
1_1_1_2_LT05_195028_20091016,13.87648364,2.31,0.957916217,LANDSAT_5,2009-10-16 10:07:01,2009-10-16 11:07:01,1255687621
1_1_2_LE07_195028_20091227,6.59268302,2.24,0.957916217,LANDSAT_7,2009-12-27 10:08:07,2009-12-27 11:08:07,1261908487
1_1_2_LE07_196028_20100119,4.74011618,3.65,1.003420798,LANDSAT_7,2010-01-19 10:14:39,2010-01-19 11:14:39,1263896079
1_1_1_2_LT05_195028_20100221,4.21032308,2.37,0.957916217,LANDSAT_5,2010-02-21 10:07:49,2010-02-21 11:07:49,1266746869
1_1_2_LE07_195028_20100301,5.79628436,2.08,0.957916217,LANDSAT_7,2010-03-01 10:08:56,2010-03-01 11:08:56,1267438136
1_1_2_LE07_196028_20100308,4.22057714,2.2,1.003420798,LANDSAT_7,2010-03-08 10:15:10,2010-03-08 11:15:10,1268043310
1_1_2_LE07_196028_20100324,6.11416022,2.23,1.003420798,LANDSAT_7,2010-03-24 10:15:15,2010-03-24 11:15:15,1269425715
1_1_2_LE07_195028_20100402,7.0506977,2.16,0.957916217,LANDSAT_7,2010-04-02 10:09:06,2010-04-02 11:09:06,1270202946
1_1_2_LE07_196028_20100409,7.5804908,3.82,1.003420798,LANDSAT_7,2010-04-09 10:15:18,2010-04-09 11:15:18,1270808118
1_1_1_2_LT05_196028_20100417,8.63665898,5.68,1.003420798,LANDSAT_5,2010-04-17 10:13:58,2010-04-17 11:13:58,1271499238
1_1_1_2_LT05_196028_20100604,15.06253658,4.08,1.003420798,LANDSAT_5,2010-06-04 10:13:46,2010-06-04 11:13:46,1275646426
1_1_2_LE07_195028_20100605,17.76960842,2.4,0.957916217,LANDSAT_7,2010-06-05 10:09:02,2010-06-05 11:09:02,1275732542
1_1_2_LE07_196028_20100628,22.16176412,2.4,1.003420798,LANDSAT_7,2010-06-28 10:15:16,2010-06-28 11:15:16,1277720116
1_1_1_2_LT05_195028_20100629,20.3126153,3.05,0.957916217,LANDSAT_5,2010-06-29 10:07:27,2010-06-29 11:07:27,1277806047
1_1_2_LE07_195028_20100707,22.60610672,2.16,0.957916217,LANDSAT_7,2010-07-07 10:09:06,2010-07-07 11:09:06,1278497346
1_1_2_LE07_196028_20100714,23.75456144,3.74,1.003420798,LANDSAT_7,2010-07-14 10:15:18,2010-07-14 11:15:18,1279102518
1_1_1_2_LT05_195028_20100731,21.5260124,2.29,0.957916217,LANDSAT_5,2010-07-31 10:07:19,2010-07-31 11:07:19,1280570839
1_1_2_LE07_195028_20100808,21.0303995,4.02,0.957916217,LANDSAT_7,2010-08-08 10:09:06,2010-08-08 11:09:06,1281262146
1_1_2_LE07_196028_20100831,18.19686092,3.44,1.003420798,LANDSAT_7,2010-08-31 10:15:21,2010-08-31 11:15:21,1283249721
1_1_1_2_LT05_195028_20100901,16.99029986,2.21,0.957916217,LANDSAT_5,2010-09-01 10:07:10,2010-09-01 11:07:10,1283335630
1_1_1_2_LT05_195028_20101003,16.23149942,2.3,0.957916217,LANDSAT_5,2010-10-03 10:06:58,2010-10-03 11:06:58,1286100418
1_1_1_2_LT05_196028_20101026,11.41892726,2.32,1.003420798,LANDSAT_5,2010-10-26 10:12:56,2010-10-26 11:12:56,1288087976
1_1_2_LE07_195028_20101027,11.0839613,2.21,0.957916217,LANDSAT_7,2010-10-27 10:09:24,2010-10-27 11:09:24,1288174164
1_1_1_2_LT05_195028_20101104,8.9476988,2.63,0.957916217,LANDSAT_5,2010-11-04 10:06:43,2010-11-04 11:06:43,1288865203
1_1_1_2_LT05_196028_20101213,6.92764898,2.35,1.003420798,LANDSAT_5,2010-12-13 10:12:55,2010-12-13 11:12:55,1292235175
1_1_2_LE07_196028_20110122,4.98963164,2.22,1.003420798,LANDSAT_7,2011-01-22 10:16:25,2011-01-22 11:16:25,1295691385
1_1_1_2_LT05_195028_20110208,5.75868614,2.37,0.957916217,LANDSAT_5,2011-02-08 10:06:52,2011-02-08 11:06:52,1297159612
1_1_1_2_LT05_196028_20110303,5.49891662,2.43,1.003420798,LANDSAT_5,2011-03-03 10:13:02,2011-03-03 11:13:02,1299147182
1_1_2_LE07_195028_20110320,6.43887212,3.15,0.957916217,LANDSAT_7,2011-03-20 10:10:27,2011-03-20 11:10:27,1300615827
1_1_1_2_LT05_195028_20110413,8.78363384,2.33,0.957916217,LANDSAT_5,2011-04-13 10:06:40,2011-04-13 11:06:40,1302689200
1_1_2_LE07_195028_20110421,14.56350566,2.17,0.957916217,LANDSAT_7,2011-04-21 10:10:29,2011-04-21 11:10:29,1303380629
1_1_1_2_LT05_196028_20110506,14.52590744,3.91,1.003420798,LANDSAT_5,2011-05-06 10:12:41,2011-05-06 11:12:41,1304676761
1_1_2_LE07_195028_20110507,15.1684952,2.14,0.957916217,LANDSAT_7,2011-05-07 10:10:30,2011-05-07 11:10:30,1304763030
1_1_2_LE07_196028_20110530,20.42199194,2.26,1.003420798,LANDSAT_7,2011-05-30 10:16:41,2011-05-30 11:16:41,1306750601
1_1_1_2_LT05_195028_20110702,19.70078972,2.27,0.957916217,LANDSAT_5,2011-07-02 10:06:07,2011-07-02 11:06:07,1309601167
1_1_2_LE07_195028_20110811,21.10901396,2.12,0.957916217,LANDSAT_7,2011-08-11 10:10:18,2011-08-11 11:10:18,1313057418
1_1_2_LE07_196028_20110818,23.4059234,2.63,1.003420798,LANDSAT_7,2011-08-18 10:16:29,2011-08-18 11:16:29,1313662589
1_1_1_2_LT05_195028_20110920,18.0738122,2.3,0.957916217,LANDSAT_5,2011-09-20 10:05:19,2011-09-20 11:05:19,1316513119
1_1_1_2_LT05_196028_20110927,18.38485202,2.61,1.003420798,LANDSAT_5,2011-09-27 10:11:22,2011-09-27 11:11:22,1317118282
1_1_1_2_LT05_195028_20111006,19.11972632,2.44,0.957916217,LANDSAT_5,2011-10-06 10:04:59,2011-10-06 11:04:59,1317895499
