x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y,y16
1668387241.266,0.798333335,0.46999997,1.0600001000000001,307.44856081995,932.2883333333301,100,0,0,0,0,0,0,0,0,0,5.2275000266667,0
1668387301.234,0.95066666883333,0.7,1.4100001,345.04586284974,932.2883333333301,100,0,0,0,0,0,0,0,0,0,5.203000025,0
1668387361.234,1.2453333334999999,0.75,2.28,349.57040406269,932.3,100,0,0,0,0,0,0,0,0,0,5.1771666866667,0
1668387421.245,3.2376666583333,1.27,4.41,8.4563736307462,932.2766666666699,100,0.36666666666666997,0,0,0,0,0,0,0,0,5.051666673333299,0
1668387481.233,3.3551666483332996,2.71,4,13.438347865493,932.0583333333301,100,0,0,0,0,0,0,0,0,0,4.7666666466667005,0
1668387541.23,3.2005000216667003,2.66,3.73,1.2072418907231002,931.98833333333,100,0,0,0,0,0,0,0,0,0,4.6983333783333,0
1668387601.259,2.3018333216667,1.8799999,2.85,342.85120408041,931.98333333333,100,0,0,0,0,0,0,0,0,0,4.69316671,0
1668387661.254,2.107166665,1.6600001,2.91,316.56005475473,932.0766666666699,100,0,0,0,0,0,0,0,0,0,4.74433334,0
1668387721.235,1.758666665,1.03,2.99,314.31429268527,932.0733333333301,100,0,0,0,0,0,0,0,0,0,4.6101666616667005,0
1668387781.237,1.3264999966667,1.02,1.8,354.5189574954,932.0733333333301,100,0,0,0,0,0,0,0,0,0,4.7290001133333,0
1668387841.237,1.4663333366667,0.71,2.04,11.954585232527,932.0783333333301,100,0,0,0,0,0,0,0,0,0,4.7993333133333,0
1668387901.247,0.9341666734999999,0.46999997,1.4100001,356.18817888129996,932.0766666666699,100,0,0,0,0,0,0,0,0,0,4.79299993,0
1668387961.228,0.86650000183333,0.28,1.24,298.87132267466,932.07457627119,100,0,0,0,0,0,0,0,0,0,4.8477966050847,0
1668388021.232,0.956499993,0.5,1.36,302.75545520006,932.1933333333301,100,0,0,0,0,0,0,0,0,0,4.9643333416667,0
