x,y,y2,y4,y6,y8,y10,y12,y14,y16,y18,y20,y22,y24,y1,y3,y5,y7,y9,y11,y13,y15,y17,y19,y21,y23,y25
1610470800,1.081,1.141,974,1019,3.393,7.5,302.8,4.976,117.8,,,7.403,5.473,,,,,,,,,1,,,,
1610474400,1.508,1.472,974,1018,3.69,8.6,296.5,4.116,117.5,,1.066,7.42,5.451,,,,,,,,,1,,,,
1610478000,1.723,1.728,974,1019,3.872,6.7,298.4,4.453,116.8,,,7.441,5.434,,,,,,,,,1,,,,
1610481600,1.864,1.856,974,1019,3.914,7.8,306.1,5.403,116.1,,0.037,7.438,5.43,,,,,,,,,1,,,,
1610485200,2.312,2.272,974,1019,4.078,10,314.1,6.205,114,,0.7,7.438,5.419,,,,,,,,,1,,,,
1610488800,2.591,2.61,974,1019,4.271,10.4,321.6,6.792,112.8,,0.944,7.442,5.412,,,,,,,,,1,,,,
1610492400,2.933,2.985,975,1019,4.119,10.4,320.7,6.871,108.7,,,7.419,5.398,,,,,,,,,1,,,,
1610496000,3.266,3.263,975,1019,4.11,9,315.8,5.28,106.5,,,7.446,5.397,,,,,,,,,1,,,,
1610499600,3.49,3.477,975,1019,4.257,7.8,314.8,4.933,106,,,7.466,5.413,,,,,,,,,1,,,,
1610503200,3.691,3.691,975,1019,4.729,8.7,318.9,5.385,107.9,,,7.48,5.423,,,,,,,,,1,,,,
1610506800,3.988,3.984,975,1020,4.777,7.9,319.9,5.346,106.1,,,7.485,5.417,,,,,,,,,1,,,,
1610510400,4.178,4.178,975,1020,4.863,7.7,318.2,4.587,105.3,,,7.477,5.395,,,,,,,,,1,,,,
1610514000,4.355,4.326,976,1020,5.061,5.5,308.9,2.552,105.6,,,7.466,5.394,,,,,,,,,1,,,,
1610517600,4.613,4.586,976,1020,4.978,5.1,293.3,2.038,103.1,,,7.488,5.385,,,,,,,,,1,,,,
1610521200,4.8,4.78,977,1021,4.951,7.6,274.4,4.275,101.6,,,7.471,5.383,,,,,,,,,1,,,,
1610524800,4.699,4.665,977,1021,5.195,4.7,283.9,2.572,104.1,,17.59,7.439,5.374,,,,,,,,,1,,,,
1610528400,5.098,5.078,978,1022,5.196,5.6,271.3,4.158,101.2,,47.62,7.486,5.371,,,,,,,,,1,,,,
1610532000,5.052,5.047,978,1022,5.045,6,274.6,3.912,100.3,,83.7,7.481,5.371,,,,,,,,,1,,,,
1610535600,5.232,5.208,978,1023,5.249,6,294.9,2.753,100.6,,110.9,7.479,5.37,,,,,,,,,1,,,,
1610539200,5.074,5.101,978,1022,5.749,6.4,263.2,4.701,105,,65.83,7.501,5.371,,,,,,,,,1,,,,
1610542800,5.229,5.222,977,1021,5.829,7.6,280.9,4.441,104.7,,36.66,7.496,5.36,,,,,,,,,1,,,,
1610546400,5.252,5.239,977,1022,5.591,6.9,277.8,4.382,102.8,,21.4,7.486,5.355,,,,,,,,,1,,,,
1610550000,5.358,5.34,978,1022,5.68,6.2,287.3,3.137,102.7,,8.24,7.479,5.348,,,,,,,,,1,,,,
1610553600,4.923,4.928,977,1022,6.229,6.2,294.2,3.239,109.8,,0.432,7.466,5.329,,,,,,,,,1,,,,
1610557200,4.794,4.721,977,1022,5.787,7.1,284.6,3.821,108.1,,,7.448,5.29,,,,,,,,,1,,,,
1610560800,4.498,4.499,977,1021,5.426,8.7,305.3,4.367,107,,,7.419,5.305,,,,,,,,,1,,,,
1610564400,4.284,4.262,977,1021,5.1,8.3,312.2,4.676,106.4,,,7.416,5.301,,,,,,,,,1,,,,
1610568000,4.439,4.453,977,1022,5.354,8.3,314.4,4.881,106.9,,,7.416,5.288,,,,,,,,,1,,,,
1610571600,4.518,4.502,978,1022,5.791,7.6,316.2,5.03,109.8,,,7.459,5.275,,,,,,,,,1,,,,
1610575200,4.669,4.648,977,1022,6.174,7.7,309.4,4.146,111.6,,,7.45,5.277,,,,,,,,,1,,,,
1610578800,4.782,4.771,977,1022,6.365,7.5,308.7,4.073,112.1,,,7.459,5.292,,,,,,,,,1,,,,
1610582400,4.766,4.795,977,1021,6.577,6.7,305.6,3.685,113.5,,,7.471,5.262,,,,,,,,,1,,,,
1610586000,4.899,4.886,977,1021,6.588,8.8,304.4,3.777,112.9,,,7.476,5.277,,,,,,,,,1,,,,
1610589600,4.937,4.953,977,1021,6.56,7.1,307.4,3.957,112.2,,,7.47,5.251,,,,,,,,,1,,,,
1610593200,4.991,4.979,977,1021,6.526,6.9,301,3.557,111.7,,,7.462,5.287,,,,,,,,,1,,,,
1610596800,5.103,5.1,977,1021,6.391,6.9,309.1,3.974,109.7,,,7.456,5.265,,,,,,,,,1,,,,
1610600400,5.198,5.201,976,1020,6.15,8.1,318.5,4.941,107.2,,,7.449,5.321,,,,,,,,,1,,,,
1610604000,5.18,5.158,976,1020,6.44,7.8,311.9,4.207,109.7,,,7.421,5.313,,,,,,,,,1,,,,
1610607600,5.053,5.043,975,1020,6.505,8.5,310.8,4.107,111,,,7.424,5.312,,,,,,,,,1,,,,
1610611200,5.147,5.145,975,1020,6.414,7.3,311.9,4.489,109.6,,22.38,7.429,5.303,,,,,,,,,1,,,,
1610614800,5.203,5.181,975,1019,6.255,9,305.7,4.164,108.1,,52.56,7.431,5.178,,,,,,,,,1,,,,
1610618400,5.235,5.227,975,1020,6.058,7.5,298.1,3.319,106.3,,105.5,7.418,5.128,,,,,,,,,1,,,,
